The underlying securities code,The underlying securities referred to,Today financing balance (yuan),Today financing the purchase amount (yuan),Today financing repayments (yuan),Today's trading margin,Today the amount of short selling,Today margin to repay the amount,date,name,Closing price,Highest Price,Lowest,Opening price,Before closing,Change Amount,Quote change,Turnover,Volume,Turnover,The total market capitalization,Market capitalization
600111,Baotou Steel Rare Earth,1705405413,143351873,169887131,797193,711411,715166,2012-08-29,Baotou Steel Rare Earth,32.91,35.36,32.8,35.26,35.25,-2.34,-6.6383,3.9546,58506458,1967232946,79709468040,48689352895
600111,Baotou Steel Rare Earth,1692635156,68051285,80821542,719812,754372,831753,2012-08-30,Baotou Steel Rare Earth,32.27,33.28,31,32.13,32.91,-0.64,-1.9447,2.8631,42359240,1363009207,78159359880,47742492189
600111,Baotou Steel Rare Earth,1738729422,79213542,33119276,821093,782759,681478,2012-08-31,Baotou Steel Rare Earth,31.54,32.45,31.31,32.24,32.27,-0.73,-2.2622,1.767,26141526,830341688,76391267760,46662479195
600111,Baotou Steel Rare Earth,1793489510,146776488,92016400,797549,710242,733786,2012-09-03,Baotou Steel Rare Earth,31.97,32.3,31.13,31.38,31.54,0.43,1.3633,2.1783,32226830,1028770218,77432746680,47298651232
600111,Baotou Steel Rare Earth,1766342552,98340936,125487894,781588,720064,736025,2012-09-04,Baotou Steel Rare Earth,32.41,33.2,32.14,32.14,31.97,0.44,1.3763,3.0294,44818458,1464411232,78498446040,47949617968
600111,Baotou Steel Rare Earth,1796721559,106457735,76078728,836562,716067,661093,2012-09-05,Baotou Steel Rare Earth,32.46,32.7,31.87,32.24,32.41,0.05,0.1543,1.6945,25070211,810734335,78619548240,48023591461
600111,Baotou Steel Rare Earth,1817602134,102050427,81169852,816582,388645,408625,2012-09-06,Baotou Steel Rare Earth,32.78,33.04,32.4,32.65,32.46,0.32,0.9858,1.483,21940304,716172481,79394602320,48497021814
600111,Baotou Steel Rare Earth,1855350794,223229698,185481038,842448,1427324,1401458,2012-09-07,Baotou Steel Rare Earth,35.76,35.98,33.16,33.16,32.78,2.98,9.0909,5.6304,83300073,2906325808,86612293440,52905841979
600111,Baotou Steel Rare Earth,1834017326,136421944,157755412,719099,839462,962811,2012-09-10,Baotou Steel Rare Earth,35.77,36.29,35.15,35.75,35.76,0.01,0.028,3.7643,55692314,1993151446,86636513880,52920636678
600111,Baotou Steel Rare Earth,1885432029,136744359,85329656,763200,979542,935441,2012-09-11,Baotou Steel Rare Earth,35.17,35.5,34.5,35.5,35.77,-0.6,-1.6774,2.5838,38226074,1337316205,85183287480,52032954765
