The underlying securities code,The underlying securities referred to,Today financing balance (yuan),Today financing the purchase amount (yuan),Today financing repayments (yuan),Today's trading margin,Today the amount of short selling,Today margin to repay the amount,date,name,Closing price,Highest Price,Lowest,Opening price,Before closing,Change Amount,Quote change,Turnover,Volume,Turnover,The total market capitalization,Market capitalization
600111,Baotou Steel Rare Earth,2142772203,39428387,54390822,1199955,642734,607038,2013-06-03,Baotou Steel Rare Earth,27.56,27.93,27.51,27.7,27.69,-0.13,-0.4695,1.0773,15937969,440400588,66751532640,40774189176
600111,Baotou Steel Rare Earth,2153435139,52518591,41855655,904972,924444,1153478,2013-06-04,Baotou Steel Rare Earth,27.03,27.58,26.91,27.56,27.56,-0.53,-1.9231,1.3851,20491433,556216887,65467849320,39990070154
600111,Baotou Steel Rare Earth,2146785388,36033304,42683055,1165935,1428013,1167050,2013-06-05,Baotou Steel Rare Earth,27.26,27.48,27.02,27.04,27.03,0.23,0.8509,0.9239,13668813,372456692,66024919440,40330348220
600111,Baotou Steel Rare Earth,2151305949,84520474,79999913,1207469,1072698,1031164,2013-06-06,Baotou Steel Rare Earth,27.03,27.35,26.8,27.27,27.26,-0.23,-0.8437,1.1396,16859706,455514924,65467849320,39990070154
600111,Baotou Steel Rare Earth,2130267363,51909941,72948527,1011735,1094092,1289826,2013-06-07,Baotou Steel Rare Earth,26.5,27.2,26.37,27.09,27.03,-0.53,-1.9608,1.1531,17059644,455096571,64184166000,39205951131
600111,Baotou Steel Rare Earth,2107636518,45807330,68438175,1257578,1573875,1328032,2013-06-13,Baotou Steel Rare Earth,24.98,26.3,24.77,26.3,26.5,-1.52,-5.7358,1.6359,24202553,608685644,60502659120,36957156953
600111,Baotou Steel Rare Earth,2090142012,48943242,66437748,1403636,1411062,1265004,2013-06-14,Baotou Steel Rare Earth,25.07,25.18,24.6,24.99,24.98,0.09,0.3603,1.382,20446625,509474322,60720643080,37090309240
600111,Baotou Steel Rare Earth,2069776780,47929311,68294543,1636534,861631,628733,2013-06-17,Baotou Steel Rare Earth,24.5,25.16,24.48,25.1,25.07,-0.57,-2.2736,1.183,17502305,431746994,59340078000,36247011423
600111,Baotou Steel Rare Earth,2061154935,38937285,47559130,1791424,594362,439472,2013-06-18,Baotou Steel Rare Earth,24.59,24.93,24.48,24.53,24.5,0.09,0.3673,0.9065,13411689,329994709,59558061960,36380163710
600111,Baotou Steel Rare Earth,2097227835,143673578,107600678,1497181,2010313,2304556,2013-06-19,Baotou Steel Rare Earth,25.83,25.85,24.55,24.7,24.59,1.24,5.0427,2.7904,41283211,1054031118,62561396520,38214706329
600111,Baotou Steel Rare Earth,2117788735,80924468,60363568,1386102,511346,622425,2013-06-20,Baotou Steel Rare Earth,24.71,25.67,24.69,25.41,25.83,-1.12,-4.336,1.4106,20870138,525272586,59848707240,36557700092
600111,Baotou Steel Rare Earth,2062086567,79944254,135646422,1706151,1390154,1070105,2013-06-21,Baotou Steel Rare Earth,24.27,24.8,23.61,24.21,24.71,-0.44,-1.7807,1.6018,23698821,573165155,58783007880,35906733357
600111,Baotou Steel Rare Earth,1966652348,63939811,159374030,1197075,1560009,2069085,2013-06-24,Baotou Steel Rare Earth,21.93,24.2,21.9,24.2,24.27,-2.34,-9.6415,2.1309,31525672,718892216,53115424920,32444773898
600111,Baotou Steel Rare Earth,1864892572,53574147,155333923,673324,2633725,3157476,2013-06-25,Baotou Steel Rare Earth,21.26,21.78,19.74,21.78,21.93,-0.67,-3.0552,3.1292,46295438,956444578,51492655440,31453529096
600111,Baotou Steel Rare Earth,1860529837,71532149,73192492,1283198,2290354,1680480,2013-06-26,Baotou Steel Rare Earth,21.5,21.74,20.7,21.37,21.26,0.24,1.1289,1.9306,28562007,608601682,52073946000,31808601861
600111,Baotou Steel Rare Earth,1822843304,55453352,93139885,1056378,2216085,2442905,2013-06-27,Baotou Steel Rare Earth,20.84,21.77,20.7,21.61,21.5,-0.66,-3.0698,2.0784,30749282,653880729,50475396960,30832151757
600111,Baotou Steel Rare Earth,1801154437,44943399,66632266,1284833,1785596,1557141,2013-06-28,Baotou Steel Rare Earth,20.87,21.6,20.01,20.42,20.84,0.03,0.144,1.6291,24102057,504281513,50548058280,30876535853
600111,Baotou Steel Rare Earth,1810841939,58423349,48735847,1391569,2252127,2145391,2013-07-01,Baotou Steel Rare Earth,21.27,21.48,20.52,20.7,20.87,0.4,1.9166,1.5119,22367838,470502799,51516875880,31468323795
600111,Baotou Steel Rare Earth,1783826995,44555630,71570574,1482275,1318634,1227928,2013-07-02,Baotou Steel Rare Earth,20.78,21.28,20.58,21.05,21.27,-0.49,-2.3037,1.8465,27319085,567924368,50330074320,30743383566
600111,Baotou Steel Rare Earth,1725409889,35751596,94168702,1214197,1664973,1933051,2013-07-03,Baotou Steel Rare Earth,19.98,20.78,19.93,20.78,20.78,-0.8,-3.8499,1.9062,28201855,567445184,48392439120,29559807683
600111,Baotou Steel Rare Earth,1734452493,155417970,146375366,1377719,2834179,2670657,2013-07-04,Baotou Steel Rare Earth,21.4,21.86,19.32,19.8,19.98,1.42,7.1071,4.3798,64798072,1344660323,51831741600,31660654876
600111,Baotou Steel Rare Earth,1728121178,177856936,184188251,1169393,2699110,2907436,2013-07-05,Baotou Steel Rare Earth,22.29,22.98,21.05,21.2,21.4,0.89,4.1589,5.2993,78401308,1734680535,53987360760,32977383046
600111,Baotou Steel Rare Earth,1704067868,90677288,114730598,1118141,2131639,2182891,2013-07-08,Baotou Steel Rare Earth,21.01,22.17,20.92,21.89,22.29,-1.28,-5.7425,2.6992,39933278,858272817,50887144440,31083661633
600111,Baotou Steel Rare Earth,1683169106,50897885,71796647,1211941,1847762,1753962,2013-07-09,Baotou Steel Rare Earth,21.13,21.85,20.9,21.01,21.01,0.12,0.5712,1.6988,25132923,536904271,51177789720,31261198015
600111,Baotou Steel Rare Earth,1685873673,171203344,168498777,1305970,2451034,2357005,2013-07-10,Baotou Steel Rare Earth,23.24,23.24,21.22,21.22,21.13,2.11,9.9858,5.0157,74205211,1672629830,56288302560,34382879407
600111,Baotou Steel Rare Earth,1742082429,409784197,353575441,1301393,2561939,2566516,2013-07-11,Baotou Steel Rare Earth,25.56,25.56,24.35,24.6,23.24,2.32,9.9828,9.9418,147085865,3700993107,61907444640,37815249468
600111,Baotou Steel Rare Earth,1855110189,344852887,231825127,1246754,1664940,1719579,2013-07-12,Baotou Steel Rare Earth,24.75,25.49,24.61,25.19,25.56,-0.81,-3.169,6.7808,100319253,2513608478,59945589000,36616878887
600111,Baotou Steel Rare Earth,1913439352,307020275,248691112,1265392,2144752,2126114,2013-07-15,Baotou Steel Rare Earth,25.18,25.8,24.51,24.74,24.75,0.43,1.7374,5.1921,76814933,1931617882,60987067920,37253050924
600111,Baotou Steel Rare Earth,1888588851,201738994,226589495,1171641,1496064,1589815,2013-07-16,Baotou Steel Rare Earth,25.04,25.69,24.74,25,25.18,-0.14,-0.556,3.7034,54790488,1379121886,60647981760,37045925144
600111,Baotou Steel Rare Earth,1867638543,161091550,182041858,1219120,1834687,1787208,2013-07-17,Baotou Steel Rare Earth,24.1,25.41,24,25.41,25.04,-0.94,-3.754,3.3925,50190333,1227700725,58371260400,35655223481
600111,Baotou Steel Rare Earth,1888049491,139002006,118591058,1154181,1157913,1222852,2013-07-18,Baotou Steel Rare Earth,23.68,24.24,23.6,24.06,24.1,-0.42,-1.7427,2.3428,34660607,826430152,57354001920,35033846143
600111,Baotou Steel Rare Earth,1847374708,124692641,165367424,1137654,2530811,2547338,2013-07-19,Baotou Steel Rare Earth,22.06,23.85,22,23.6,23.68,-1.62,-6.8412,3.0737,45473979,1045032192,53430290640,32637104979
600111,Baotou Steel Rare Earth,1871786602,145075653,120663759,1118395,2507582,2526841,2013-07-22,Baotou Steel Rare Earth,22.86,22.89,21.68,22.01,22.06,0.8,3.6265,2.7911,41293333,921527003,55367925840,33820680862
600111,Baotou Steel Rare Earth,1863960839,184785772,192611535,1143090,2525694,2500999,2013-07-23,Baotou Steel Rare Earth,24.71,25,22.87,22.88,22.86,1.85,8.0927,4.5724,67647482,1647054606,59848707240,36557700092
600111,Baotou Steel Rare Earth,1896304077,189263678,156920440,1065230,2390771,2468631,2013-07-24,Baotou Steel Rare Earth,24.65,24.89,23.77,24.4,24.71,-0.06,-0.2428,3.645,53926614,1314863083,59703384600,36468931901
600111,Baotou Steel Rare Earth,1894804437,195373287,196872927,1095849,1503282,1472663,2013-07-25,Baotou Steel Rare Earth,23.77,24.69,23.75,24.5,24.65,-0.88,-3.57,2.6375,39020832,943401385,57571985880,35166998430
600111,Baotou Steel Rare Earth,1866764271,82555048,110595214,1124498,1872671,1844022,2013-07-26,Baotou Steel Rare Earth,23.42,23.83,22.97,23.48,23.77,-0.35,-1.4724,1.8494,27361475,640062054,56724270480,34649183981
600111,Baotou Steel Rare Earth,1862790920,74066221,78039572,1188098,1703316,1639716,2013-07-29,Baotou Steel Rare Earth,23.32,23.35,22.58,23,23.42,-0.1,-0.427,1.5669,23181657,532668920,56482066080,34501236995
600111,Baotou Steel Rare Earth,1904157376,189548385,148181929,1161226,2618435,2645307,2013-07-30,Baotou Steel Rare Earth,24.12,24.98,23.62,23.65,23.32,0.8,3.4305,3.1115,46034074,1120193790,58419701280,35684812879
600111,Baotou Steel Rare Earth,1890879324,113705867,126983919,1199427,1421329,1383128,2013-07-31,Baotou Steel Rare Earth,23.6,24.55,23.53,24.1,24.12,-0.52,-2.1559,2.0797,30768111,738526866,57160238400,34915488554
600111,Baotou Steel Rare Earth,1883146663,119059690,126792351,1158123,1492214,1533518,2013-08-01,Baotou Steel Rare Earth,24.34,24.48,23.6,23.81,23.6,0.74,3.1356,2.2893,33869310,818782558,58952550960,36010296246
600111,Baotou Steel Rare Earth,1857795683,110926433,136277413,1149800,968368,976691,2013-08-02,Baotou Steel Rare Earth,24.13,24.71,24.08,24.61,24.34,-0.21,-0.8628,1.7704,26192402,636388001,58443921720,35699607577
600111,Baotou Steel Rare Earth,1832009425,126019210,151805468,1254326,1496505,1391979,2013-08-05,Baotou Steel Rare Earth,24.63,24.79,24.11,24.17,24.13,0.5,2.0721,2.396,35447844,869702118,59654943720,36439342504
600111,Baotou Steel Rare Earth,1835708448,213359426,209660403,1114436,2717937,2857827,2013-08-06,Baotou Steel Rare Earth,25.28,25.58,24.18,24.59,24.63,0.65,2.6391,4.0249,59546612,1484310762,61229272320,37400997909
600111,Baotou Steel Rare Earth,1892325307,247003606,190386747,1071897,2243797,2286336,2013-08-07,Baotou Steel Rare Earth,25.21,25.88,24.8,25.08,25.28,-0.07,-0.2769,4.1161,60896267,1544054700,61059729240,37297435019
600111,Baotou Steel Rare Earth,1947421249,280381217,225285275,1169664,2299700,2201933,2013-08-08,Baotou Steel Rare Earth,25.6,26.64,25.4,26.08,25.21,0.39,1.547,4.4756,66214987,1719789489,62004326400,37874428262
600111,Baotou Steel Rare Earth,1940217378,461238789,468442660,1159976,2988351,2998039,2013-08-09,Baotou Steel Rare Earth,28.16,28.16,25.91,26,25.6,2.56,10.0,10.6114,156992095,4332560678,68204759040,41661871089
600111,Baotou Steel Rare Earth,2061161719,589449193,468504852,1108161,2787276,2839091,2013-08-12,Baotou Steel Rare Earth,29.57,30.63,27.8,28.16,28.16,1.41,5.0071,11.4341,169164616,4926741801,71619841080,43747923583
600111,Baotou Steel Rare Earth,2182793630,405093324,283461413,1156798,2457569,2408932,2013-08-13,Baotou Steel Rare Earth,29.59,29.96,29,29.03,29.57,0.02,0.0676,5.0414,74586681,2194796176,71668281960,43777512980
600111,Baotou Steel Rare Earth,2170252169,325191228,337732689,1231728,2387241,2312311,2013-08-14,Baotou Steel Rare Earth,29.17,29.88,28.85,29.5,29.59,-0.42,-1.4194,4.4107,65255162,1906189178,70651023480,43156135641
600111,Baotou Steel Rare Earth,2203115109,324593448,291730508,1158107,2699264,2772885,2013-08-15,Baotou Steel Rare Earth,29.3,29.74,28.6,29.18,29.17,0.13,0.4457,5.107,75556225,2204691507,70965889200,43348466722
600111,Baotou Steel Rare Earth,2232235627,408281020,379160502,964326,2318411,2512192,2013-08-16,Baotou Steel Rare Earth,27.93,29.99,27.85,29.38,29.3,-1.37,-4.6758,5.8904,87146467,2516535115,67647688920,41321593022
600111,Baotou Steel Rare Earth,2320622094,465243355,376856888,1221926,3159886,2902286,2013-08-19,Baotou Steel Rare Earth,30.16,30.2,27.76,28.1,27.93,2.23,7.9842,6.7641,100073280,2929179548,73048847040,44620810797
600111,Baotou Steel Rare Earth,2393874488,356440189,283187795,1143091,1849014,1927849,2013-08-20,Baotou Steel Rare Earth,29.6,30.46,29.34,29.83,30.16,-0.56,-1.8568,4.9653,73459423,2195111110,71692502400,43792307678
600111,Baotou Steel Rare Earth,2473500433,322540562,242914617,1164641,2845154,2823604,2013-08-21,Baotou Steel Rare Earth,30.1,30.58,29.46,29.61,29.6,0.5,1.6892,4.5247,66941890,2012882960,72903524400,44532042605
600111,Baotou Steel Rare Earth,2442927091,259231028,289804370,1205743,1932009,1890907,2013-08-22,Baotou Steel Rare Earth,29.2,30.09,29.05,29.92,30.1,-0.9,-2.99,3.6934,54642100,1613642872,70723684800,43200519737
600111,Baotou Steel Rare Earth,2390847070,328678457,380758478,1102943,2008749,2111549,2013-08-23,Baotou Steel Rare Earth,28.74,29.72,27.82,29.2,29.2,-0.46,-1.5753,4.8444,71670854,2057332103,69609544560,42519963604
600111,Baotou Steel Rare Earth,2454496004,263903166,200254232,1182443,1027388,947888,2013-08-26,Baotou Steel Rare Earth,29.18,29.26,28.45,29.02,28.74,0.44,1.531,2.9153,43130620,1251489583,70675243920,43170930340
600111,Baotou Steel Rare Earth,2590222222,457571582,321845364,1193943,2811120,2799620,2013-08-27,Baotou Steel Rare Earth,30.24,30.89,29.03,29.2,29.18,1.06,3.6326,5.5218,81692941,2472999363,73242610560,44739168385
600111,Baotou Steel Rare Earth,2813939157,633131692,409414757,1230640,2816720,2780023,2013-08-28,Baotou Steel Rare Earth,31.23,31.55,29.6,30,30.24,0.99,3.2738,7.1735,106129103,3251896318,75640434120,46203843540
600111,Baotou Steel Rare Earth,2812309516,363473791,369870586,1063522,1849544,2008262,2013-08-29,Baotou Steel Rare Earth,30.69,31.34,30.53,31,31.23,-0.54,-1.7291,3.9436,58344519,1799243441,74332530360,45404929819
600111,Baotou Steel Rare Earth,2692570532,321177807,440916791,956028,2501108,2608602,2013-08-30,Baotou Steel Rare Earth,29.24,31.14,28.78,30.95,30.69,-1.45,-4.7247,5.1384,76020777,2256490111,70820566560,43259698531
600111,Baotou Steel Rare Earth,2660549494,186391535,218412573,878528,1646684,1724184,2013-09-02,Baotou Steel Rare Earth,29.06,29.7,28.58,29.29,29.24,-0.18,-0.6156,2.6122,38646234,1124544740,70384598640,42993393957
600111,Baotou Steel Rare Earth,2567996169,138808808,226700067,980728,1048265,959265,2013-09-03,Baotou Steel Rare Earth,29.26,29.29,28.38,29.06,29.06,0.2,0.6882,2.193,32444411,937679095,70869007440,43289287928
600111,Baotou Steel Rare Earth,2583669417,271604574,255621380,993328,3001015,2988415,2013-09-04,Baotou Steel Rare Earth,29.46,30.29,28.6,29.1,29.26,0.2,0.6835,3.58,52965314,1560704856,71353416240,43585181899
600111,Baotou Steel Rare Earth,2508549528,154398115,229518004,915644,1683082,1760766,2013-09-05,Baotou Steel Rare Earth,28.6,29.18,28.56,29.18,29.46,-0.86,-2.9192,2.7821,41160569,1185508759,69270458400,42312837824
600111,Baotou Steel Rare Earth,2483318091,109692969,134924406,945703,906160,876101,2013-09-06,Baotou Steel Rare Earth,28.71,29.2,28.61,28.62,28.6,0.11,0.3846,1.8264,27021079,778676949,69536883240,42475579508
600111,Baotou Steel Rare Earth,2585919274,300367646,197766463,836003,1408812,1518512,2013-09-09,Baotou Steel Rare Earth,29.39,29.7,28.65,28.71,28.71,0.68,2.3685,3.3288,49248542,1444794388,71183873160,43481619009
600111,Baotou Steel Rare Earth,2663509115,344842775,267252934,897003,1474304,1413304,2013-09-10,Baotou Steel Rare Earth,29.97,30.17,29.22,29.66,29.39,0.58,1.9735,3.6164,53503774,1588237134,72588658680,44339711524
600111,Baotou Steel Rare Earth,2723201191,594062896,534370820,824400,2509386,2581989,2013-09-11,Baotou Steel Rare Earth,30.7,31.88,30.35,30.35,29.97,0.73,2.4358,6.4926,96055942,2989003460,74356750800,45419724518
600111,Baotou Steel Rare Earth,2785448864,297188769,238505355,772403,811032,858429,2013-09-12,Baotou Steel Rare Earth,29.98,30.7,29.81,30.7,30.7,-0.72,-2.3453,2.9903,44241254,1332783605,72612879120,44354506223
600111,Baotou Steel Rare Earth,2779550933,316591036,322488967,811857,2624755,2585301,2013-09-13,Baotou Steel Rare Earth,30.63,31.6,29.8,30.31,29.98,0.65,2.1681,4.0657,60150474,1856179522,74187207720,45316161628
600111,Baotou Steel Rare Earth,2685436119,179762789,273877603,809847,978476,980486,2013-09-16,Baotou Steel Rare Earth,30,30.84,29.87,30.46,30.63,-0.63,-2.0568,2.9144,43117515,1300514972,72661320000,44384095620
600111,Baotou Steel Rare Earth,2576565551,225517669,326074290,876324,1815949,1749072,2013-09-17,Baotou Steel Rare Earth,28.78,30.23,28.69,30,30,-1.22,-4.0667,4.0301,59624001,1735969743,69706426320,42579142398
600111,Baotou Steel Rare Earth,2543790023,110171592,142947120,743436,1551709,1684597,2013-09-18,Baotou Steel Rare Earth,28.67,28.99,28.11,28.74,28.78,-0.11,-0.3822,2.1315,31534583,898052422,69440001480,42416400714
600111,Baotou Steel Rare Earth,2537522637,131576158,137843544,786115,1659330,1616651,2013-09-23,Baotou Steel Rare Earth,29.13,29.42,28.67,28.76,28.67,0.46,1.6045,2.0751,30700120,894330873,70554141720,43096956847
600111,Baotou Steel Rare Earth,2495965642,138128061,179685056,811215,1492155,1467055,2013-09-24,Baotou Steel Rare Earth,28.59,29.44,28.5,29.18,29.13,-0.54,-1.8538,2.7568,40786729,1176195376,69246237960,42298043126
600111,Baotou Steel Rare Earth,2457284384,128327934,167009192,802366,1825116,1833965,2013-09-25,Baotou Steel Rare Earth,28.07,28.48,27.83,28.42,28.59,-0.52,-1.8188,2.6671,39459464,1108894189,67986775080,41528718802
600111,Baotou Steel Rare Earth,2490535381,203621726,170370729,835884,3041427,3007909,2013-09-26,Baotou Steel Rare Earth,28.07,29.15,27.33,28.11,28.07,0.0,0.0,3.4583,51163928,1445620715,67986775080,41528718802
600111,Baotou Steel Rare Earth,2442692313,103430945,151274013,700034,1139511,1275361,2013-09-27,Baotou Steel Rare Earth,27.8,28.38,27.66,27.8,28.07,-0.27,-0.9619,1.69,25002500,699703457,67332823200,41129261941
600111,Baotou Steel Rare Earth,2419452694,84340420,107580039,718839,931903,913098,2013-09-30,Baotou Steel Rare Earth,28.2,28.28,27.66,28.1,27.8,0.4,1.4388,1.4468,21405562,599480619,68301640800,41721049883
600111,Baotou Steel Rare Earth,2437675237,124305317,106082774,713339,1424929,1430429,2013-10-08,Baotou Steel Rare Earth,28.26,28.68,27.65,27.9,28.2,0.06,0.2128,1.8401,27223602,767111359,68446963440,41809818074
600111,Baotou Steel Rare Earth,2478821793,153166210,112019654,745090,2521854,2490103,2013-10-09,Baotou Steel Rare Earth,28.61,28.73,28.03,28.29,28.26,0.35,1.2385,2.2678,33551543,955001771,69294678840,42327632523
600111,Baotou Steel Rare Earth,2449908249,123123087,152036631,703808,1997574,2038856,2013-10-10,Baotou Steel Rare Earth,27.87,28.65,27.74,28.5,28.61,-0.74,-2.5865,2.3819,35239710,990181917,67502366280,41232824831
600111,Baotou Steel Rare Earth,2414703654,83065654,118270249,723908,436700,416600,2013-10-11,Baotou Steel Rare Earth,27.93,28.27,27.8,28,27.87,0.06,0.2153,1.5695,23220814,649697645,67647688920,41321593022
600111,Baotou Steel Rare Earth,2409985290,125163468,129881832,734403,1380434,1369939,2013-10-14,Baotou Steel Rare Earth,27.13,27.86,27.02,27.86,27.93,-0.8,-2.8643,2.8014,41446328,1133938374,65710053720,40138017139
600111,Baotou Steel Rare Earth,2446945673,169251937,132291554,766903,2407748,2375248,2013-10-15,Baotou Steel Rare Earth,27.9,28.34,27.5,27.51,27.13,0.77,2.8382,2.9579,43761916,1224000486,67575027600,41277208927
600111,Baotou Steel Rare Earth,2393779240,101515061,154681494,769103,2037006,2034806,2013-10-16,Baotou Steel Rare Earth,26.99,27.68,26.68,27.6,27.9,-0.91,-3.2616,2.2775,33694385,912241780,65370967560,39930891360
600111,Baotou Steel Rare Earth,2371034116,65217709,87962833,835023,1342266,1276346,2013-10-17,Baotou Steel Rare Earth,26.99,27.63,26.88,27.12,26.99,0.0,0.0,1.4001,20714279,562937705,65370967560,39930891360
600111,Baotou Steel Rare Earth,2355293521,39276184,55016779,783523,246018,297518,2013-10-18,Baotou Steel Rare Earth,26.97,27.27,26.9,27.08,26.99,-0.02,-0.0741,0.9801,14500589,392530170,65322526680,39901301962
600111,Baotou Steel Rare Earth,2359816323,119690292,115167490,756692,1581917,1608748,2013-10-21,Baotou Steel Rare Earth,27.14,27.16,26.12,26.9,26.97,0.17,0.6303,2.4381,36071552,958973114,65734274160,40152811838
600111,Baotou Steel Rare Earth,2367680663,90790525,82926185,799735,554985,511942,2013-10-22,Baotou Steel Rare Earth,26.77,27.09,26.72,27,27.14,-0.37,-1.3633,1.32,19529659,524618395,64838117880,39605407992
600111,Baotou Steel Rare Earth,2369454191,151644488,149870960,895826,2906204,2810113,2013-10-23,Baotou Steel Rare Earth,27.31,27.88,26.88,26.96,26.77,0.54,2.0172,2.985,44162321,1209740871,66146021640,40404321713
600111,Baotou Steel Rare Earth,2379308772,85473735,75619154,880926,966349,981249,2013-10-24,Baotou Steel Rare Earth,26.67,27.5,26.63,27.45,27.31,-0.64,-2.3435,1.6696,24701316,668085410,64595913480,39457461006
600111,Baotou Steel Rare Earth,2352937830,72475767,98846709,768696,1566000,1678230,2013-10-25,Baotou Steel Rare Earth,25.8,26.84,25.71,26.6,26.67,-0.87,-3.2621,1.7837,26389605,689814063,62488735200,38170322233
600111,Baotou Steel Rare Earth,2333566338,42397025,61768517,907846,971063,831913,2013-10-28,Baotou Steel Rare Earth,25.16,25.98,25,25.8,25.8,-0.64,-2.4806,1.2834,18987694,482030441,60938627040,37223461527
600111,Baotou Steel Rare Earth,2332745174,68922750,69743914,763596,2063084,2207334,2013-10-29,Baotou Steel Rare Earth,24.99,25.68,24.06,25.2,25.16,-0.17,-0.6757,1.7122,25331501,632578426,60526879560,36971951652
600111,Baotou Steel Rare Earth,2332794525,55619939,55570588,748763,1040651,1055484,2013-10-30,Baotou Steel Rare Earth,25.13,25.42,24.69,25,24.99,0.14,0.5602,1.1032,16320897,409042375,60865965720,37179077431
600111,Baotou Steel Rare Earth,2346565323,50246174,36475376,796563,520023,472223,2013-10-31,Baotou Steel Rare Earth,25.18,25.28,24.75,24.91,25.13,0.05,0.199,0.9175,13573469,340962567,60987067920,37253050924
600111,Baotou Steel Rare Earth,2339558175,104637183,111644331,830867,2653485,2619181,2013-11-01,Baotou Steel Rare Earth,26.4,26.62,25.42,25.44,25.18,1.22,4.8451,2.555,37801068,991845960,63941961600,39058004146
600111,Baotou Steel Rare Earth,2310837621,87241635,115962189,866461,1650582,1614988,2013-11-04,Baotou Steel Rare Earth,26.42,27.7,26.38,27.1,26.4,0.02,0.0758,2.0495,30321190,818078618,63990402480,39087593543
600111,Baotou Steel Rare Earth,2356196921,130609702,85250402,878472,2145858,2133847,2013-11-05,Baotou Steel Rare Earth,27.07,27.19,26.15,26.43,26.42,0.65,2.4603,1.7846,26402933,710078519,65564731080,40049248948
600111,Baotou Steel Rare Earth,2348222885,91334931,99308967,826661,2283443,2335254,2013-11-06,Baotou Steel Rare Earth,27.17,27.69,26.68,27.08,27.07,0.1,0.3694,2.4253,35882294,978237097,65806935480,40197195933
600111,Baotou Steel Rare Earth,2313851099,53063302,87435087,813127,1199324,1212858,2013-11-07,Baotou Steel Rare Earth,26.44,27.35,26.4,27.34,27.17,-0.73,-2.6868,1.4458,21390763,572456087,64038843360,39117182940
600111,Baotou Steel Rare Earth,2283699715,57124686,87276070,819600,1730129,1723656,2013-11-08,Baotou Steel Rare Earth,25.29,26.34,25.07,26.01,26.44,-1.15,-4.3495,1.6974,25112869,641143437,61253492760,37415792608
600111,Baotou Steel Rare Earth,2339032227,100091418,44758906,828359,1333518,1324759,2013-11-11,Baotou Steel Rare Earth,24.62,25.3,24.18,25.15,25.29,-0.67,-2.6493,2.2539,33345649,817622774,59630723280,36424547806
600111,Baotou Steel Rare Earth,2345465567,51891642,45458302,820459,350116,358016,2013-11-12,Baotou Steel Rare Earth,24.86,24.97,24.51,24.59,24.62,0.24,0.9748,1.0781,15950555,394582942,60212013840,36779620570
600111,Baotou Steel Rare Earth,2315823735,55378153,85019985,774061,1000592,1046990,2013-11-13,Baotou Steel Rare Earth,24.37,25.06,24.31,24.76,24.86,-0.49,-1.971,1.254,18552259,456232023,59025212280,36054680342
600111,Baotou Steel Rare Earth,2316176229,50328369,49975875,754251,1781165,1800975,2013-11-14,Baotou Steel Rare Earth,24.75,24.85,24.32,24.55,24.37,0.38,1.5593,1.2828,18978834,467359128,59945589000,36616878887
600111,Baotou Steel Rare Earth,2298815908,70120470,87480791,745161,893073,902163,2013-11-15,Baotou Steel Rare Earth,25.14,25.5,24.6,24.76,24.75,0.39,1.5758,1.6639,24617214,620076450,60890186160,37193872130
600111,Baotou Steel Rare Earth,2299851632,118008823,116973099,929111,1641995,1458045,2013-11-18,Baotou Steel Rare Earth,25.69,25.74,24.95,25.15,25.14,0.55,2.1877,2.304,34086912,865443833,62222310360,38007580549
600111,Baotou Steel Rare Earth,2275853607,61703521,85701546,948890,1003446,983667,2013-11-19,Baotou Steel Rare Earth,25.49,25.7,25.3,25.7,25.69,-0.2,-0.7785,1.4924,22078993,562104654,61737901560,37711686579
600111,Baotou Steel Rare Earth,2271879869,53583228,57556966,929390,267875,287375,2013-11-20,Baotou Steel Rare Earth,25.51,25.74,25.4,25.62,25.49,0.02,0.0785,1.1069,16376829,417684231,61786342440,37741275976
600111,Baotou Steel Rare Earth,2242056365,56880810,83736343,954424,1104417,1079334,2013-11-21,Baotou Steel Rare Earth,25.01,25.38,24.81,25.38,25.51,-0.5,-1.96,1.5121,22370403,559219810,60575320440,37001541049
600111,Baotou Steel Rare Earth,2228712224,44653411,57997552,857334,263922,361012,2013-11-22,Baotou Steel Rare Earth,24.84,25.14,24.83,25.1,25.01,-0.17,-0.6797,0.8485,12553345,312959744,60163572960,36750031173
600111,Baotou Steel Rare Earth,2217514117,43311733,54509840,874534,291711,274511,2013-11-25,Baotou Steel Rare Earth,24.74,24.99,24.53,24.63,24.84,-0.1,-0.4026,0.8819,13047346,322978508,59921368560,36602084188
600111,Baotou Steel Rare Earth,2222845107,40982629,35651639,860059,170990,185465,2013-11-26,Baotou Steel Rare Earth,24.74,24.92,24.61,24.61,24.74,0.0,0.0,0.616,9114113,225768848,59921368560,36602084188
600111,Baotou Steel Rare Earth,2221091086,55525159,57279180,873219,997093,983933,2013-11-27,Baotou Steel Rare Earth,25.16,25.25,24.7,24.8,24.74,0.42,1.6977,1.1115,16443901,411070537,60938627040,37223461527
600111,Baotou Steel Rare Earth,2282479755,256261330,194872661,790259,2925383,3008343,2013-11-28,Baotou Steel Rare Earth,27.27,27.65,25.15,25.18,25.16,2.11,8.3863,5.5748,82477631,2204300207,66049139880,40345142919
600111,Baotou Steel Rare Earth,2294826211,159429848,147083392,739659,540389,590989,2013-11-29,Baotou Steel Rare Earth,26.51,26.95,26.38,26.95,27.27,-0.76,-2.7869,2.943,43541142,1157075683,64208386440,39220745830
